Name,Team,POS,GP,MIN,PTS,FGM,FGA,FG%
Anthony Davis,LAL,F-C,4,37.1,32.8,11.0,20.0,55.0
Max Christie,LAL,G,4,16.0,3.0,1.0,3.0,33.3
Jaxson Hayes,LAL,C-F,4,15.0,5.0,2.3,2.5,90.0
Cam Reddish,LAL,F-G,5,17.6,3.2,1.0,4.4,22.7
Chet Holmgren,OKC,C-F,3,32.6,23.7,9.0,16.0,56.3
Shai Gilgeous-Alexander,OKC,G,3,33.9,28.7,10.3,23.0,44.9
Cason Wallace,OKC,G,3,25.2,6.0,2.7,8.0,33.3
Trae Young,ATL,G,4,37.7,26.5,6.8,17.3,39.1	
Jalen Johnson,ATL,F,4,36.5,15.8,5.5,13.5,40.7	
Onyeka Okongwu,ATL,F-C,3,26.1,16.3,5.7,9.0,63.0
